datetime,rate
2015042301,38.0
2015042302,22.0
2015042303,25.0
2015042304,24.0
2015042305,17.0
2015042306,12.0
2015042307,14.0
2015042308,7.0
2015042309,7.0
2015042310,7.0
2015042311,19.0
2015042312,15.0
2015042313,24.0
2015042314,47.0
2015042315,111.0
2015042316,80.0
2015042317,258.0
2015042318,201.0
2015042319,126.0
2015042320,183.0
2015042321,59.0
2015042322,48.0
2015042323,27.0
2015042400,20.0
2015042401,14.0
2015042402,13.0
2015042403,16.0
2015042404,63.0
2015042405,198.0
2015042406,273.0
2015042407,415.0
2015042408,446.0
2015042409,502.0
2015042410,526.0
2015042411,495.0
2015042412,516.0
2015042413,510.0
2015042414,467.0
2015042415,449.0
2015042416,455.0
2015042417,445.0
2015042418,379.0
2015042419,334.0
2015042420,335.0
2015042421,296.0
2015042422,283.0
2015042423,212.0
2015042500,167.0
2015042501,178.0
2015042502,167.0
2015042503,144.0
2015042504,120.0
2015042505,106.0
2015042506,105.0
2015042507,87.0
2015042508,91.0
2015042509,103.0
2015042510,90.0
2015042511,86.0
2015042512,64.0
2015042513,72.0
2015042514,59.0
2015042515,39.0
2015042516,57.0
2015042517,50.0
2015042518,45.0
2015042519,36.0
2015042520,45.0
2015042521,52.0
2015042522,52.0
2015042523,47.0
2015042600,49.0
2015042601,25.0
2015042602,40.0
2015042603,34.0
2015042604,34.0
2015042605,34.0
2015042606,41.0
2015042607,36.0
2015042608,33.0
2015042609,28.0
2015042610,23.0
2015042611,20.0
2015042612,15.0
2015042613,21.0
2015042614,15.0
2015042615,22.0
2015042616,10.0
2015042617,12.0
2015042618,16.0
2015042619,21.0
2015042620,13.0
2015042621,23.0
2015042622,14.0
2015042623,14.0
2015042700,16.0
2015042701,17.0
2015042702,18.0
2015042703,9.0
2015042704,10.0
2015042705,14.0
2015042706,19.0
2015042707,16.0
2015042708,17.0
2015042709,20.0
2015042710,13.0
2015042711,13.0
2015042712,11.0
2015042713,18.0
2015042714,10.0
2015042715,15.0
